X 	 Y 	 Z 	 Phi 	 Theta 	 Psi 	 Vx 	 Vy 	 Vz 	 dPhi 	 dTheta 	 dPsi 	Xd 	 Yd 	 Zd 	 Phid 	 Thetad 	 Psid 	  t
-2.090	  0.000	  1.233	  0.000	  0.000	 -0.000	  0.376	  0.000	  0.000	 -0.000	  0.013	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.003	  0.000	  4.281	 
-2.077	  0.000	  1.233	  0.000	  0.001	 -0.000	  0.374	  0.000	  0.000	  0.000	  0.012	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.003	  0.000	  4.315	 
-2.065	  0.000	  1.233	  0.000	  0.001	 -0.000	  0.374	  0.000	  0.000	 -0.000	  0.011	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.003	  0.000	  4.350	 
-2.052	  0.000	  1.233	  0.000	  0.001	 -0.000	  0.373	  0.000	  0.000	 -0.000	  0.010	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.004	  0.000	  4.401	 
-2.040	  0.000	  1.233	  0.000	  0.002	 -0.000	  0.373	  0.000	  0.000	 -0.000	  0.008	  0.000	  3.000	  0.000	  1.200	  0.000	  0.004	  0.000	  4.443	 
-2.027	  0.000	  1.233	  0.000	  0.002	 -0.000	  0.373	  0.000	  0.000	 -0.000	  0.007	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.004	  0.000	  4.477	 
-2.015	  0.000	  1.233	  0.000	  0.002	 -0.000	  0.373	  0.000	  0.000	 -0.000	  0.005	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.004	  0.000	  4.514	 
-2.003	  0.000	  1.233	  0.000	  0.002	 -0.000	  0.374	  0.000	  0.000	 -0.000	  0.004	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.004	  0.000	  4.547	 
-1.990	  0.000	  1.233	  0.000	  0.002	 -0.000	  0.374	  0.000	  0.000	 -0.000	  0.003	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.004	  0.000	  4.581	 
-1.978	  0.000	  1.233	 -0.000	  0.002	 -0.000	  0.375	  0.000	  0.000	 -0.000	  0.001	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.003	  0.000	  4.614	 
-1.965	  0.000	  1.233	  0.000	  0.002	 -0.000	  0.376	  0.000	  0.000	  0.000	 -0.000	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.003	  0.000	  4.648	 
-1.952	  0.000	  1.233	  0.000	  0.002	 -0.000	  0.377	  0.000	  0.000	  0.000	 -0.001	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.003	  0.000	  4.681	 
-1.940	  0.000	  1.233	  0.000	  0.002	 -0.000	  0.379	  0.000	  0.000	  0.000	 -0.002	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.003	  0.000	  4.714	 
-1.927	  0.000	  1.233	  0.000	  0.002	 -0.000	  0.380	  0.000	  0.000	 -0.000	 -0.003	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.002	  0.000	  4.747	 
-1.914	  0.000	  1.233	  0.000	  0.002	 -0.000	  0.381	  0.000	  0.000	 -0.000	 -0.004	  0.000	  3.000	  0.000	  1.200	  0.000	  0.002	  0.000	  4.781	 
-1.902	  0.000	  1.233	 -0.000	  0.002	 -0.000	  0.383	  0.000	  0.000	 -0.000	 -0.005	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.002	  0.000	  4.815	 
-1.889	  0.000	  1.233	 -0.000	  0.002	 -0.000	  0.384	  0.000	  0.000	 -0.000	 -0.006	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.001	  0.000	  4.851	 
-1.876	  0.000	  1.233	  0.000	  0.001	 -0.000	  0.386	  0.000	  0.000	  0.000	 -0.006	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.001	  0.000	  4.885	 
-1.863	  0.000	  1.233	  0.000	  0.001	 -0.000	  0.387	  0.000	  0.000	  0.000	 -0.007	 -0.000	  3.000	  0.000	  1.200	  0.000	  0.001	  0.000	  4.922	 
