X 	 Y 	 Z 	 Phi 	 Theta 	 Psi 	 Vx 	 Vy 	 Vz 	 dPhi 	 dTheta 	 dPsi 	Xd 	 Yd 	 Zd 	 Phid 	 Thetad 	 Psid 	  t
-2.541	  0.000	  0.291	  0.000	  0.002	  0.000	  0.000	  0.000	  0.000	  0.000	  0.021	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.183	 
-2.533	  0.000	  0.291	  0.000	  0.003	  0.000	  0.000	  0.000	  0.000	  0.000	  0.019	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.215	 
-2.524	  0.000	  0.291	  0.000	  0.003	  0.000	  0.000	  0.000	  0.000	  0.000	  0.017	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.254	 
-2.515	  0.000	  0.291	  0.000	  0.004	  0.000	  0.000	  0.000	  0.000	  0.000	  0.014	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.287	 
-2.506	  0.000	  0.291	  0.000	  0.004	  0.000	  0.000	  0.000	  0.000	  0.000	  0.012	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.322	 
-2.497	  0.000	  0.291	  0.000	  0.004	  0.000	  0.000	  0.000	  0.000	  0.000	  0.009	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.355	 
-2.488	  0.000	  0.291	  0.000	  0.005	  0.000	  0.000	  0.000	  0.000	  0.000	  0.006	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.387	 
-2.479	  0.000	  0.291	  0.000	  0.005	  0.000	  0.000	  0.000	  0.000	  0.000	  0.003	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.420	 
-2.470	  0.000	  0.291	  0.000	  0.005	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.458	 
-2.460	  0.000	  0.292	  0.000	  0.005	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.002	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.491	 
-2.451	  0.000	  0.292	  0.000	  0.004	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.005	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.525	 
-2.442	  0.000	  0.292	  0.000	  0.004	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.008	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.558	 
-2.432	  0.000	  0.292	  0.000	  0.004	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.010	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.591	 
-2.423	  0.000	  0.292	  0.000	  0.003	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.012	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.625	 
-2.414	  0.000	  0.292	  0.000	  0.003	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.014	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.659	 
-2.404	  0.000	  0.292	  0.000	  0.002	  0.000	  0.000	  0.000	  0.000	 -0.000	 -0.016	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  4.691	 
